114: X: -0.000001, Y: -3.475500, Z: 4.236250
115: X: -0.000001, Y: -3.507813, Z: 4.246094
116: X: -0.000001, Y: -3.549500, Z: 4.236250
117: X: -0.000001, Y: -3.597563, Z: 4.206718
118: X: -0.000001, Y: -3.649000, Z: 4.157500
119: X: -0.000001, Y: -3.700812, Z: 4.088593
120: X: -0.000001, Y: -3.750000, Z: 4.000000
121: X: -0.628955, Y: -3.454920, Z: 4.000000
122: X: -0.608364, Y: -3.420186, Z: 4.088594
123: X: -0.594234, Y: -3.406551, Z: 4.157500
124: X: -0.585742, Y: -3.411055, Z: 4.206718
125: X: -0.582070, Y: -3.430736, Z: 4.236250
126: X: -0.582396, Y: -3.462632, Z: 4.246094
127: X: -0.585901, Y: -3.503783, Z: 4.236250
128: X: -0.591764, Y: -3.551226, Z: 4.206718
129: X: -0.599165, Y: -3.602001, Z: 4.157500
130: X: -0.607284, Y: -3.653146, Z: 4.088593
131: X: -0.615300, Y: -3.701700, Z: 4.000000
132: X: -1.203040, Y: -3.324160, Z: 4.000000
133: X: -1.168399, Y: -3.290740, Z: 4.088594
134: X: -1.145244, Y: -3.277622, Z: 4.157500
135: X: -1.132098, Y: -3.281955, Z: 4.206718
136: X: -1.127486, Y: -3.300891, Z: 4.236250
137: X: -1.129933, Y: -3.331580, Z: 4.246094
138: X: -1.137962, Y: -3.371173, Z: 4.236250
139: X: -1.150099, Y: -3.416821, Z: 4.206718
140: X: -1.164868, Y: -3.465674, Z: 4.157500
141: X: -1.180794, Y: -3.514884, Z: 4.088593
142: X: -1.196400, Y: -3.561600, Z: 4.000000
143: X: -1.719585, Y: -3.114440, Z: 4.000000
144: X: -1.676405, Y: -3.083129, Z: 4.088594
145: X: -1.648478, Y: -3.070838, Z: 4.157500
146: X: -1.633821, Y: -3.074898, Z: 4.206718
147: X: -1.630450, Y: -3.092639, Z: 4.236250
148: X: -1.636380, Y: -3.121392, Z: 4.246094
149: X: -1.649627, Y: -3.158487, Z: 4.236250
150: X: -1.668207, Y: -3.201255, Z: 4.206718
151: X: -1.690135, Y: -3.247026, Z: 4.157500
152: X: -1.713427, Y: -3.293131, Z: 4.088593
153: X: -1.736100, Y: -3.336900, Z: 4.000000
154: X: -2.175920, Y: -2.832480, Z: 4.000000
155: X: -2.128680, Y: -2.804004, Z: 4.088594
156: X: -2.099384, Y: -2.792825, Z: 4.157500
157: X: -2.085667, Y: -2.796518, Z: 4.206718
158: X: -2.085164, Y: -2.812653, Z: 4.236250
159: X: -2.095510, Y: -2.838802, Z: 4.246094
160: X: -2.114340, Y: -2.872540, Z: 4.236250
161: X: -2.139289, Y: -2.911435, Z: 4.206718
162: X: -2.167992, Y: -2.953063, Z: 4.157500
163: X: -2.198084, Y: -2.994994, Z: 4.088593
164: X: -2.227200, Y: -3.034800, Z: 4.000000
165: X: -2.569375, Y: -2.485000, Z: 4.000000
166: X: -2.521526, Y: -2.460017, Z: 4.088594
167: X: -2.493410, Y: -2.450210, Z: 4.157500
168: X: -2.482390, Y: -2.453449, Z: 4.206718
169: X: -2.485830, Y: -2.467605, Z: 4.236250
170: X: -2.501094, Y: -2.490547, Z: 4.246094
171: X: -2.525545, Y: -2.520145, Z: 4.236250
172: X: -2.556548, Y: -2.554269, Z: 4.206718
173: X: -2.591465, Y: -2.590790, Z: 4.157500
